old_url,old_path,new_path,redirect_status,confidence,include_in_public_redirects,evidence,notes
https://www.traditional-homes.gr/sitemap.xml,/sitemap.xml,,301,none,no,Old sitemap.xml points to boutiquevillaszante.gr URLs.,Do not use this file as an old-site URL inventory source.
https://www.traditional-homes.gr/images/web_3c.pdf,/images/web_3c.pdf,,301,low,no,Legacy PDF linked from old homepage; no current equivalent found.,Needs review if the brochure should be preserved or redirected.
https://www.traditional-homes.gr/modules/mod_hg_newsletter/assets/styles.css,/modules/mod_hg_newsletter/assets/styles.css,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/modules/mod_popupaholic/css/jquery.gafancybox.min.css,/modules/mod_popupaholic/css/jquery.gafancybox.min.css,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/assets/fancybox/jquery.fancybox.css,/templates/boutique/assets/fancybox/jquery.fancybox.css,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/assets/font-awesome/css/font-awesome.css,/templates/boutique/assets/font-awesome/css/font-awesome.css,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/assets/imagelightbox/imagelightbox.css,/templates/boutique/assets/imagelightbox/imagelightbox.css,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/assets/isotope/isotope.css,/templates/boutique/assets/isotope/isotope.css,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/css/bootstrap.css,/templates/boutique/styles/boutique/css/bootstrap.css,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/css/bootstrap-responsive.css,/templates/boutique/styles/boutique/css/bootstrap-responsive.css,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/css/custom.css,/templates/boutique/styles/boutique/css/custom.css,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/css/template.css,/templates/boutique/styles/boutique/css/template.css,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/ico/apple-touch-icon-114-precomposed.png,/templates/boutique/styles/boutique/ico/apple-touch-icon-114-precomposed.png,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/ico/apple-touch-icon-144-precomposed.png,/templates/boutique/styles/boutique/ico/apple-touch-icon-144-precomposed.png,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/ico/apple-touch-icon-57-precomposed.png,/templates/boutique/styles/boutique/ico/apple-touch-icon-57-precomposed.png,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/ico/apple-touch-icon-72-precomposed.png,/templates/boutique/styles/boutique/ico/apple-touch-icon-72-precomposed.png,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/ico/favicon.ico,/templates/boutique/styles/boutique/ico/favicon.ico,,301,none,no,Legacy Joomla asset href.,Not a page redirect candidate.
